idx,DI,C1_enriched,AU_CO_enriched,found
1091,10.1109/sc41406.2024.00076,"[GiordaniJ, Princeton University] [XuZ, Princeton University] [ColbyE, Princeton University] [NingA, Princeton University] [GodalaBR, Princeton University] [ChaturvediI, Princeton University] [ZhuS, Princeton University] [ChonY, Princeton University] [ChanG, Princeton University] [TanZ, Princeton University] [CollierG, Princeton University] [HalversonJD, Princeton University] [DeianaEA, Northwestern University] [LiangJ, Northwestern University] [SossaiF, Northwestern University] [SuY, Northwestern University] [PatelA, Northwestern University] [PhamBM, Northwestern University] [GreinerN, Northwestern University] [CampanoniS, Northwestern University] [AugustDI, Princeton University]",US,True
1092,10.1145/3490099.3511157,[WeiszJD] [MüllerM] [RossS] [MartinezF] [HoudeS] [AgarwalM] [TalamadupulaK] [RichardsJT],,True
1093,10.1145/3501385.3543957,"[SarsaS, Aalto University] [DennyP, University of Auckland] [HellasA, Aalto University] [LeinonenJ, Aalto University]",FI;NZ,True
1094,10.1145/3544548.3580919,"[KazemitabaarM, University of Toronto] [ChowJ, University of Toronto] [ToCK, University of Toronto] [EricsonB, University of Michigan; Michigan United] [WeintropD, University of Maryland, College Park] [GrossmanT, University of Toronto]",CA;US,True
1095,10.1145/3544548.3580999,"[GmeinerF, Carnegie Mellon University] [YangH, Carnegie Mellon University] [YaoL, Carnegie Mellon University] [HolsteinK, Carnegie Mellon University] [MartelaroN, Carnegie Mellon University]",US,True
1096,10.1145/3545945.3569759,"[BeckerBA, University College Dublin] [DennyP, University of Auckland] [Finnie-AnsleyJ, University of Auckland] [Luxton-ReillyA, University of Auckland] [PratherJ, Abilene Christian University] [SantosEA, University College Dublin]",IE;NZ;US,True
1097,10.1145/3545945.3569785,"[MacNeilS, Temple University] [TranA, Temple University] [HellasA, Aalto University] [KimJ, Temple University] [SarsaS, Aalto University] [DennyP, University of Auckland] [BernsteinS, Temple University] [LeinonenJ, Aalto University]",US;FI;NZ,True
1098,10.1145/3545945.3569792,"[GoetzeTS, Harvard University Press]",US,True
1099,10.1145/3545945.3569823,"[DennyP, University of Auckland] [KumarV, Indian Institute of Science Bangalore] [GiacamanN, University of Auckland]",NZ;IN,True
1100,10.1145/3563657.3596042,"[GoswamiL, University of Lausanne] [ZeinoddinPS, University of Lausanne] [EstierT, University of Lausanne] [CherubiniM, University of Lausanne]",CH,True
1101,10.1145/3568813.3600124,"[LiTW, University of Illinois Urbana-Champaign] [HsuS, University of Illinois Urbana-Champaign] [FowlerM, University of Illinois Urbana-Champaign] [ZhangZ, University of Oxford] [ZillesC, University of Illinois Urbana-Champaign] [KarahaliosK, University of Illinois Urbana-Champaign]",US;GB,True
1102,10.1145/3568813.3600126,"[BrownN, University of Utah] [SouthK, University of Utah] [VenkatasubramanianS, John Brown University] [WieseES, University of Utah]",US,True
1103,10.1145/3568813.3600138,"[LauS, University of California San Diego] [GuoPJ, University of California San Diego]",US,True
