Occurrences,Words,Cluster,Color,Cluster_Label,Cluster_Frequency,Cluster_PageRank,Score,Freq,btw_centrality,clos_centrality,pagerank_centrality
455,generative ai,1,#E41A1C80,generative ai,0.05846561490900968,0.2713178294573643,16.4891722183187,1662,456.85178832567254,0.0020491803278688526,0.05846561490900968
278,chatgpt,1,#E41A1C80,generative ai,0.035314123329249957,0.1657722122838402,10.054316780654508,1662,807.3279709308603,0.0022123893805309734,0.035314123329249957
131,higher education,1,#E41A1C80,generative ai,0.016668760707986726,0.07811568276684555,4.739222173741614,1662,1043.6037970427776,0.002277904328018223,0.016668760707986726
103,generative artificial intelligence,1,#E41A1C80,generative ai,0.011640378815080269,0.06141920095408467,3.652978988458247,1662,617.7091558578778,0.0022026431718061676,0.011640378815080269
85,assessment,1,#E41A1C80,generative ai,0.010164062943697894,0.05068574836016696,3.042490565193243,1662,730.4489946524379,0.002242152466367713,0.010164062943697894
78,academic integrity,1,#E41A1C80,generative ai,0.012057358588038091,0.046511627906976744,2.928449324750742,1662,581.297340081046,0.0022371364653243847,0.012057358588038091
52,ai in education,1,#E41A1C80,generative ai,0.00689895377303069,0.031007751937984496,1.8953352855507593,1662,463.9776449709028,0.002150537634408602,0.00689895377303069
51,ai literacy,1,#E41A1C80,generative ai,0.006654816449140909,0.03041144901610018,1.8533132732620545,1662,619.6747610855159,0.0022371364653243847,0.006654816449140909
45,genai,1,#E41A1C80,generative ai,0.006620365252914768,0.026833631484794274,1.672699836885452,1662,614.2117652075459,0.0022172949002217295,0.006620365252914768
24,stem education,1,#E41A1C80,generative ai,0.0038899995408067517,0.014311270125223614,0.9100634833015183,1662,235.1545344184541,0.0021321961620469083,0.0038899995408067517
19,ai education,1,#E41A1C80,generative ai,0.0019706706072196317,0.011329755515802028,0.665021306151083,1662,69.38208714557331,0.001996007984031936,0.0019706706072196317
19,engineering,1,#E41A1C80,generative ai,0.003122762478157169,0.011329755515802028,0.7226258996979599,1662,89.49445967838867,0.002079002079002079,0.003122762478157169
18,ai-assisted learning,1,#E41A1C80,generative ai,0.003002435856946015,0.01073345259391771,0.6867944225431862,1662,182.24350208861674,0.002105263157894737,0.003002435856946015
18,learning,1,#E41A1C80,generative ai,0.002994165540073257,0.01073345259391771,0.6863809066995483,1662,182.3284678342903,0.0021141649048625794,0.002994165540073257
16,cybersecurity education,1,#E41A1C80,generative ai,0.002308184493177464,0.009540846750149075,0.592451562166327,1662,91.81654801610148,0.0020833333333333333,0.002308184493177464
14,ai ethics,1,#E41A1C80,generative ai,0.002552112112115253,0.008348240906380441,0.5450176509247847,1662,115.56452846790731,0.00205761316872428,0.002552112112115253
