Venue,Papers
ASEE ANNUAL CONFERENCE AND EXPOSITION CONFERENCE PROCEEDINGS,61
PROCEEDINGS OF THE 56TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION V. 1,47
PROCEEDINGS OF THE 57TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION V.1,45
LECTURE NOTES IN NETWORKS AND SYSTEMS,43
PROCEEDINGS - FRONTIERS IN EDUCATION CONFERENCE FIE,43
ACM TRANS. COMPUT. EDUC.,34
J. COMPUT. SCI. COLL.,33
COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,30
PROCEEDINGS OF THE 2026 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,29
LECTURE NOTES IN COMPUTER SCIENCE,25
PROCEEDINGS OF THE 55TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION V. 1,25
PROCEEDINGS OF THE 30TH ACM CONFERENCE ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION V. 1,23
PROCEEDINGS OF THE 25TH KOLI CALLING INTERNATIONAL CONFERENCE ON COMPUTING EDUCATION RESEARCH,22
PROCEEDINGS OF THE 2024 ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION V. 1,21
PROCEEDINGS OF THE 2026 INTERNATIONAL CONFERENCE ON BIG DATA AND INFORMATIZATION EDUCATION,20
IEEE ACCESS,19
2025 IEEE GLOBAL ENGINEERING EDUCATION CONFERENCE EDUCON,18
PROCEEDINGS OF THE 2025 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,18
2025 IEEE GLOBAL ENGINEERING EDUCATION CONFERENCE (EDUCON),17
COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,17
